,emp_id,first_name,last_name,bank_name,account_number,bank_code,bank_branch,designation,salary,currency_code,salary_AUD
0,03-3983857,Mylo,Shoppee,Australia and New Zealand Banking Group,338000000000.0,RDHI363040,Anbuding,Subcontractor,2412,EUR,3789.52
3,13-6936779,Ulrich,Niesel,Australia and New Zealand Banking Group,747000000000.0,DCTF775405,Sluuchester,Surveyor,1173,EUR,1842.91
6,47-4432669,Hailey,Toquet,Australia and New Zealand Banking Group,71644162965.0,YFCJ161579,Shin,Subcontractor,1349,EUR,2119.43
8,10-5844896,Pace,Peirce,Australia and New Zealand Banking Group,950000000000.0,MVUB279303,Khada,Construction Worker,3302,EUR,5187.81
11,68-2814084,Sherwood,Petschel,Australia and New Zealand Banking Group,142000000000.0,QCCP409981,Khorwell,Subcontractor,1932,EUR,3035.39
14,42-8265246,Flossi,Cashford,Australia and New Zealand Banking Group,392000000000.0,WHZG677154,Chombridge,Supervisor,2331,EUR,3662.26
16,71-0483290,Grady,Kinner,Australia and New Zealand Banking Group,862000000000.0,JGYL820757,Phane,Construction Manager,1321,EUR,2075.44
19,09-6928478,Glyn,Sindle,Australia and New Zealand Banking Group,494000000000.0,JCJT782849,Edolas,Surveyor,3776,EUR,5932.52
22,60-0787287,Libbi,Jouannisson,Australia and New Zealand Banking Group,603000000000.0,CSHY846830,Qreham,Surveyor,3132,EUR,4920.72
24,56-5917446,Sadella,Bayles,Australia and New Zealand Banking Group,14469366982.0,ZUHM861516,Clueset,Construction Worker,1306,EUR,2051.87
27,41-5551220,Wanda,Minty,Australia and New Zealand Banking Group,855000000000.0,DSME773856,Bico,Estimator,3091,USD,4207.19
30,89-6393214,Bryce,Kiddye,Australia and New Zealand Banking Group,536000000000.0,ZCEC773402,Okville,Supervisor,3788,EUR,5951.37
32,81-1274588,Bartholomew,Genery,Australia and New Zealand Banking Group,59640148219.0,FNQU862090,Sriemvine,Construction Worker,3549,EUR,5575.87
35,87-9934962,Ginger,Durkin,Australia and New Zealand Banking Group,628000000000.0,AJFC966582,Phofsea,Project Manager,1632,EUR,2564.05
38,58-0876640,Florrie,De Robertis,Australia and New Zealand Banking Group,247000000000.0,IGDK378875,Yrego,Architect,3730,EUR,5860.24
40,81-8311534,Fara,Ragles,Australia and New Zealand Banking Group,283000000000.0,JAER391261,Ertonmore,Construction Foreman,-20,EUR,-31.42
43,10-4634186,Meta,Elgie,Australia and New Zealand Banking Group,666000000000.0,BZOM005992,Furburgh,Estimator,1653,EUR,2597.05
46,49-9143239,Cody,Sangwine,Australia and New Zealand Banking Group,639000000000.0,WNJC165838,Uvanta,Construction Foreman,3316,EUR,5209.8
48,31-1541201,Matelda,Bruckental,Australia and New Zealand Banking Group,613000000000.0,JJRD368812,Agleles,Engineer,1874,EUR,2944.26
1,49-9596521,Cassy,Liston,Australia and New Zealand Banking Group,7946156268.0,QNVO885735,Practon,Surveyor,3027,EUR,4755.75
4,64-6080301,Reade,Savidge,Australia and New Zealand Banking Group,29186605738.0,VALH175939,Xokving,Architect,1881,EUR,2955.26
7,72-5170772,Isabel,Wildey,Australia and New Zealand Banking Group,53646790909.0,ZITU964954,Khada,Construction Foreman,2612,EUR,4103.74
9,91-1764516,Florie,Molohan,Australia and New Zealand Banking Group,76904974086.0,ALNN922709,Agoslas,Construction Manager,3951,USD,5377.75
12,92-4585709,Darsie,Chilver,Australia and New Zealand Banking Group,41166197368.0,WNZK666458,Xouport,Architect,2322,EUR,3648.12
15,65-3487491,Tomasina,Hatherley,Australia and New Zealand Banking Group,43496167308.0,NFQO384486,Phane,Engineer,3665,EUR,5758.12
17,10-8278482,Shirlene,Barents,Australia and New Zealand Banking Group,74140012136.0,AEGU283075,Sario,Project Manager,1811,EUR,2845.28
20,78-3432582,Marius,Matveiko,Australia and New Zealand Banking Group,6799336122.0,RRXK636885,Riford,Construction Manager,3677,EUR,5776.98
