,emp_id,first_name,last_name,bank_name,account_number,bank_code,bank_branch,designation,salary,currency_code,salary_AUD
1,71-5794365,Mano,Feragh,National Australia Bank,171000000000.0,VVNN326036,Srirora,Construction Expeditor,1315,USD,1789.86
4,22-0007036,Rudolfo,Patnelli,National Australia Bank,315000000000.0,QAQB835078,Sterset,Construction Foreman,1515,EUR,2380.23
9,41-1555224,Sullivan,Willison,National Australia Bank,859000000000.0,ZMDE428406,Estermery,Construction Worker,1405,EUR,2207.41
12,11-1853462,Guillema,Houlridge,National Australia Bank,551000000000.0,IYZP046798,Kuupset,Architect,1341,EUR,2106.86
17,94-5488493,Anabella,Hardson,National Australia Bank,332000000000.0,IULT873198,Cand,Estimator,1853,EUR,2911.27
20,31-1786901,Cherye,Boggis,National Australia Bank,133000000000.0,IIUN178472,Ansson,Estimator,2126,EUR,3340.18
25,48-7285284,Peterus,Greenman,National Australia Bank,610000000000.0,GXKT999937,Brotdale,Supervisor,1416,USD,1927.33
28,48-3079507,Gabriell,Chown,National Australia Bank,615000000000.0,WWCJ234880,Zlario,Subcontractor,2245,EUR,3527.14
33,90-0953362,Raphaela,Jaegar,National Australia Bank,355000000000.0,OWFJ543076,Hokport,Engineer,3696,EUR,5806.83
36,46-8215174,Marsiella,Slaughter,National Australia Bank,709000000000.0,ZUEW350724,Daka,Subcontractor,3183,EUR,5000.85
41,55-9442031,Ilaire,Perritt,National Australia Bank,104000000000.0,SPZV237944,Drubus,Surveyor,2808,EUR,4411.68
44,02-0199966,Kerwin,Aspinal,National Australia Bank,896000000000.0,JWQD572640,Fuobert,Engineer,3206,EUR,5036.98
49,12-1133200,Krissie,Creaney,National Australia Bank,963000000000.0,UOKO139613,Odonmouth,Supervisor,1571,USD,2138.31
2,59-6972090,Sal,Jenkinson,National Australia Bank,34978167661.0,TFYU315161,Sluuchester,Engineer,1943,EUR,3052.67
5,73-3360019,Ardith,Warcup,National Australia Bank,49761512140.0,VDOB703083,Shin,Construction Expeditor,3528,EUR,5542.88
10,46-3929761,Ferdinande,Ovington,National Australia Bank,1585881360.0,RUGI897346,Khorwell,Electrician,1696,EUR,2664.6
13,49-4660555,Marice,Figgins,National Australia Bank,57946823691.0,JGZX488572,Chombridge,Architect,3128,EUR,4914.44
18,31-6056976,Reynolds,Royl,National Australia Bank,77835329665.0,LHGV122929,Edolas,Surveyor,2411,USD,3281.64
21,89-7072657,Trish,Buss,National Australia Bank,96892754096.0,NGOV194229,Qreham,Surveyor,1306,EUR,2051.87
26,36-4224857,Audrye,August,National Australia Bank,26730191470.0,IUFS546332,Bico,Construction Manager,3443,EUR,5409.34
29,45-2708563,Muire,Ganter,National Australia Bank,67824643823.0,CKER653045,Okville,Subcontractor,1089,EUR,1710.94
34,91-2897593,Humbert,Von Salzberg,National Australia Bank,29791215886.0,QYQY020656,Phofsea,Estimator,2044,EUR,3211.35
37,41-0310839,Parker,O' Byrne,National Australia Bank,84199755237.0,ZRS0662850,Yrego,Electrician,2922,EUR,4590.79
42,95-0256959,Gabby,Elmore,National Australia Bank,35111322174.0,SFEA818543,Furburgh,Architect,1160,EUR,1822.49
45,54-9504768,Ward,Brasener,National Australia Bank,4901968907.0,HJGK634335,Uvanta,Electrician,2112,USD,2874.67
49,13-3134440,Elmore,Creaney,National Australia Bank,12325195778.0,BYKR139993,Block,Architect,3401,USD,4629.14
2,29-5301022,Gillan,Ghilardini,National Australia Bank,311000000000.0,DGXX615534,Practon,Engineer,2060,EUR,3236.49
7,41-4660442,Byran,Maryott,National Australia Bank,553000000000.0,YOSG851276,Flosa,Project Manager,1797,EUR,2823.29
10,15-0614384,Trev,Kiddy,National Australia Bank,840000000000.0,0ROQ834272,Agoslas,Architect,2772,EUR,4355.12
15,37-2344652,Dame,McCleod,National Australia Bank,573000000000.0,UTNY227393,Bikgow,Subcontractor,1742,USD,2371.06
18,20-4357644,Johna,Andreone,National Australia Bank,597000000000.0,BTUC369316,Sario,Construction Foreman,3109,EUR,4884.58
23,46-2789604,Balduin,Gatling,National Australia Bank,625000000000.0,ZDSD996727,Yroiford,Electrician,3342,EUR,5250.65
26,32-7641212,Lesley,Clough,National Australia Bank,80068489272.0,YUQI376702,Strerton,Estimator,2224,EUR,3494.15
31,26-9300117,Kerry,Guidone,National Australia Bank,364000000000.0,LNRU236321,Cheeding,Estimator,2879,EUR,4523.23
34,17-1710688,Annabella,Earwicker,National Australia Bank,52671840104.0,JFRY375627,Kroxvale,Electrician,3695,EUR,5805.26
39,87-4866905,Chrystal,Bakes,National Australia Bank,187000000000.0,WNXH961227,Acolas,Surveyor,3017,USD,4106.47
42,85-8009841,Nathaniel,Reitenbach,National Australia Bank,444000000000.0,ESSW639091,Ebrudcaster,Surveyor,1378,EUR,2164.99
47,63-5513733,Gwenni,Vannozzii,National Australia Bank,9857374619.0,LLVH949892,Block,Engineer,3828,USD,5210.33
